Sample,Exchanged Metanol,N Open
CIR_19,1.0,14
CIR_19,1.0,13
CIR_19,1.0,18
CIR_19,0.9842203260623776,10
CIR_19,1.0,17
CIR_19,1.0,19
CIR_19,0.999995317950338,16
CIR_19,1.0,11
CIR_19,1.0,15
CIR_19,0.8262015740228532,10
CIR_19,0.8262015740228532,10
CIR_19,0.8262015740228532,10
CIR_19,1.0,13
CIR_19,1.0,16
CIR_19,1.0,17
CIR_19,1.0,18
CIR_19,1.0,12
CIR_19,1.0,15
CIR_19,1.0,16
CIR_19,0.9999995179109801,12
CIR_19,1.0,12
CIR_19,1.0,16
CIR_19,1.0,16
CIR_19,1.0,16
CIR_19,1.0,16
CIR_19,1.0,16
CIR_19,1.0,16
CIR_19,1.0,16
CIR_19,1.0,16
CIR_19,1.0,16
CIR_19,1.0,16
CIR_19,1.0,15
CIR_19,1.0,15
CIR_19,1.0,13
CIR_19,1.0,13
CIR_19,1.0,13
CIR_19,1.0,11
CIR_19,1.0,11
CIR_19,1.0,11
CIR_19,0.9999959666550333,12
CIR_19,0.9999959666550333,12
CIR_19,0.9999959666550333,12
CIR_19,0.9999959666550333,12
CIR_19,0.9999959666550333,12
CIR_19,0.9999959666550333,12
CIR_19,0.9999959666550333,12
CIR_19,1.0,16
CIR_19,1.0,13
CIR_19,0.9999995315938963,13
CIR_19,0.9999994306127702,16
CIR_19,0.8762447169002929,15
CIR_19,1.0,9
CIR_19,1.0,14
CIR_19,1.0,12
CIR_19,1.0,8
CIR_19,0.9707621272713294,9
CIR_19,0.9999997293313561,10
CIR_19,0.9999997293313561,10
CIR_19,0.9999997293313561,10
CIR_19,0.9999997293313561,10
CIR_19,0.9999997293313561,10
CIR_19,0.9999997293313561,10
CIR_19,0.9999997293313561,10
CIR_19,1.0,17
CIR_19,1.0,11
CIR_19,1.0,11
CIR_19,1.0,14
CIR_19,1.0,14
CIR_19,1.0,14
CIR_19,1.0,14
CIR_19,1.0,14
CIR_19,1.0,14
CIR_19,1.0,15
CIR_19,0.9999995386152799,14
CIR_19,1.0,13
CIR_19,1.0,9
CIR_19,1.0,15
CIR_19,0.999999515782223,13
CIR_19,1.0,13
CIR_19,0.9999993753880534,14
CIR_19,1.0,12
CIR_19,1.0,15
CIR_19,1.0,15
CIR_19,1.0,13
CIR_19,0.9566505231788257,7
CIR_19,0.9566505231788257,7
CIR_19,0.9566505231788257,7
CIR_19,1.0,11
CIR_19,1.0,15
CIR_19,1.0,15
CIR_19,0.9999996354615623,12
CIR_19,1.0,14
CIR_19,1.0,14
CIR_19,1.0,14
CIR_19,1.0,14
CIR_19,1.0,14
CIR_19,1.0,14
CIR_19,0.8557493305513527,8
CIR_19,0.8557493305513527,8
CIR_19,1.0,17
CIR_19,1.0,13
CIR_19,1.0,12
CIR_19,1.0,10
CIR_19,1.0,10
CIR_19,1.0,10
CIR_19,1.0,10
CIR_19,1.0,10
CIR_19,1.0,10
CIR_19,1.0,10
CIR_19,1.0,10
CIR_19,1.0,10
CIR_19,0.9995069929276896,18
CIR_19,0.9989362759761272,17
CIR_19,1.0,16
CIR_19,1.0,16
CIR_19,1.0,16
CIR_19,1.0,15
CIR_19,1.0,15
CIR_19,1.0,13
CIR_19,0.9999997384757643,12
CIR_19,1.0,15
CIR_19,1.0,11
CIR_19,1.0,12
CIR_19,1.0,12
CIR_19,1.0,9
CIR_19,1.0,12
CIR_19,1.0,15
CIR_19,1.0,19
CIR_19,1.0,15
CIR_19,0.7880707506546965,10
CIR_19,0.7880707506546965,10
CIR_19,0.7880707506546965,10
CIR_19,0.9999996212904431,13
CIR_19,1.0,14
CIR_19,1.0,17
CIR_19,1.0,16
CIR_19,1.0,12
CIR_19,1.0,19
CIR_19,1.0,18
CIR_19,1.0,16
CIR_19,1.0,15
CIR_19,1.0,13
CIR_19,1.0,13
CIR_19,1.0,13
CIR_19,1.0,13
CIR_19,1.0,13
CIR_19,1.0,13
CIR_19,1.0,13
CIR_19,1.0,12
CIR_19,1.0,13
CIR_19,1.0,13
CIR_19,1.0,15
