,Acer,Phum,Meus,Seum,Meis,Psas,Teas,OL12,Tala,Bola,Hyum,Afia,Vaax,Neae,Rher,Spas,Paas
PYRUVATE,-0.08091071461964676,0.0,-6.187404626800797,-0.12535081800482484,7.894390710071734,-0.003646525686406235,-0.2638279281688593,-0.021279550201149612,-0.21070024302756143,-0.01215679264122817,-0.7755246089789698,-0.00790134879856824,-0.09258320690773726,-0.027966578492422345,-0.022487298446874037,-0.0626504692966873,0.0
FUM,0.0,0.0009691887979150376,-0.011987925745396113,5.274480863447471e-05,0.0,0.0,-1.845155170451751e-05,4.4004580225289094e-06,-7.559761392789503e-05,8.616539112424187e-08,0.0,2.5176723333931045e-08,-1.3672852277058723e-06,-7.911866803536464e-08,0.0,-9.980221518725172e-07,0.011057809300604083
SUC,-4.561452177290407e-05,-0.0038774790578880915,0.008517539740336066,5.0116699024668254e-05,0.0,0.0,2.2076100545273522e-06,1.9490292783203444e-09,0.00021098019864352843,6.709433850348839e-10,-2.0494278184854216e-06,-6.446560274740239e-09,4.807473696152861e-05,3.3666497574906673e-09,0.0,1.0088459413298283e-05,-0.004913863977016028
VAL,6.166045398301665e-06,-0.004846419706254415,0.0066598628879652715,-0.00010245378526579487,1.0736375135905978e-05,1.2459168341055551e-08,-0.0018958394156304574,0.0,0.00014849278723858187,1.3534104056778371e-07,2.7919136607611738e-06,5.891015163734417e-08,8.053610316149113e-06,7.375969281930196e-07,4.772070863403798e-07,6.2452106343805755e-06,9.425624261975068e-07
GLYCERATE,5.7374747631130126e-06,3.7290100988273864e-10,-1.7398809161427657,8.554101753723706e-06,2.5055143178105235,4.1865579798676174e-08,1.1627404656667728e-07,7.308859793701678e-10,0.00014557904000900846,-1.4637876529206173e-08,-0.7658459239636259,-4.935752639127472e-09,3.604226791325474e-05,1.2624936590590002e-09,0.0,1.646847915085794e-05,0.0
CPD_10353,0.0,0.0,-0.0015153007104301605,0.0,0.0,0.0,0.0015151331585935702,0.0,0.0,0.0,0.0,-3.548535985227156e-07,0.0,5.224054351131734e-07,0.0,0.0,0.0
PPI,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0
ASN,3.331777028815271e-06,1.177206536836194e-07,-8.709201333422402e-05,8.08252939549649e-06,5.801320901790239e-06,6.732219468949241e-09,3.6706408418076144e-05,5.49631118908569e-07,2.2397890142133992e-05,7.534121835751643e-08,2.4458720173139055e-06,6.112698292909039e-08,4.35170877233015e-06,3.98555045111262e-07,2.578553198286e-07,1.99823746388723e-06,5.09306636096811e-07
BUTANEDIOL,0.0,0.0,0.0015153007104301605,0.0,0.0,0.0,-0.0015151331585935702,0.0,0.0,0.0,0.0,3.548535985227156e-07,0.0,-5.224054351131734e-07,0.0,0.0,0.0
ACETYL_COA,3.0631327220761726e-07,1.2541084826504217e-09,0.0005460752295376525,6.993104202994525e-07,6.18029536224421e-08,7.172007017363867e-11,-4.9869719938483096e-05,8.064521811331274e-07,-0.0004919747837080967,1.9622476028412276e-08,1.6071396919257987e-08,3.9899141372523946e-08,-2.932959154457931e-06,4.2459096788612065e-09,2.7469992203905235e-09,-3.2609831024369687e-06,5.425774948927771e-09
GLN,4.9085867594919955e-06,1.543152454600004e-07,0.000133597539824857,1.2378466635935622e-05,0.0,-4.575890780614731e-08,-8.914375346341741e-05,6.299659133052151e-07,-7.301149000956115e-05,1.1006564107351348e-07,2.264500312919678e-06,8.150903163885975e-08,4.578893893714495e-06,8.069009840577187e-07,3.914404209011937e-07,1.6884125851097823e-06,6.104051323401571e-07
SER,3.4473799192943426e-06,1.4659529248631406e-07,-2.324960535987672,0.0,2.3250028245859653,-3.443461442869396e-08,4.687264364115906e-05,2.53949622519072e-07,-5.591692325499692e-05,9.777201002333288e-08,0.0,3.375733735475706e-08,-2.4131906681357316e-05,4.2477167281186646e-07,1.651916636473227e-07,-1.3972774547648473e-05,3.253796469166784e-07
ETOH,9.937034389747467e-06,0.0,0.6011072594469037,2.0548332284270713e-05,0.0,1.4216997953241447e-12,0.0009149355396458489,8.75265548043847e-07,4.9684900830417904e-05,0.0,-0.6021053302867447,2.883427669426237e-08,0.0,-2.6452248094569545e-11,2.0581432584015227e-06,2.8146381278242903e-09,0.0
ACET,-1.948883700982789e-06,-0.004800521753702384,0.01809175581978146,0.0,0.0,-5.886670737911115e-09,1.7053526829779336e-08,-7.135191004092425e-07,0.0,1.9700046128086115e-08,1.1099883057123438e-09,-1.640155010667517e-08,1.4702520724970996e-06,1.0942109408994082e-07,-1.8811874081850815e-06,-2.2652142026689074e-06,-0.013286020510173831
LYS,1.1690280291950637e-06,1.9617776762203932e-07,0.007132970220825284,1.3469281081376185e-05,9.667718859521149e-06,1.751966291271766e-08,6.117007539079789e-05,-5.0507568023494026e-08,3.736009406594118e-05,7.067455151762368e-10,2.5140176279820242e-06,5.304646836499942e-08,7.251985829023357e-06,6.641794500611765e-07,4.2970778219931495e-07,3.3299998987235454e-06,-0.00727021325191649
