OTU_ID	ALC_19	ALC_20	CIR_19	My_20	Pty_20	V3_20	VT_20
006e3ba76f4a4306769c277678e3bad8	72	0	0	0	0	0	0
015b00f942c7e2f4c9e06db46c817ece	0	0	0	24.75	0	0	0
0281ce539a44c8b1b059ae85c15e3fab	0	0	0	101	0	6380	0
03d7308525469b4f8f9e2326dc892afd	0	0	0	0	0	2044	0
04ed749055716405f08554396d62d9cd	0	0	30.25	35.5	13.25	0	0
05b9f5cc8e5bb290dd1952fe9d8bad19	0	0	25	0	0	0	0
05f85d159631cc9dee015f8f7e5420f5	0	0	0	978	0	0	0
060b66414a14f3f92af529a19b26cc78	0	0	2677	0	2982	0	0
066435e4a454af2d4d8673e1231706e4	0	0	3944	5	3975	0	0
071f79711bbdde2fd3eb7d654747ed9b	0	0	0	517	0	0	0
0746d4ed931f7a6c799e7b1e5f525cbc	0	270	0	0	0	0	0
088408debd5cf6b712322ae0f6ab61c5	32.5	0	0	0	0	0	0
08935de8e561e37b02f87dbf466da7a7	51.5	72	0	0	0	0	0
0a62c07aaf5d282e4302c519c8952ea1	0	96	0	0	0	0	0
0ac7f94cefcdd26366d7893d8dbd6b80	0	28.33	0	0	0	0	0
0b345a10cf9aefee3326b1300b680a15	48.33	0	0	0	0	0	0
0b9c0802af21fbaf35a7e303cf5a2d5d	26.5	1386	0	0	0	0	0
0c686f1cc22743965285a354daa7275f	498	0	0	0	0	0	0
0ce45a9f970ee11ede12269e171bd92f	0	416	0	0	0	0	0
0e33872a3fe4b1704598808acfae3563	0	0	0	89	30	0	0
0e5a2d2ad411c1610b8d10799f47cb7a	0	0	0	0	0	32	0
108039c87f18b4ab5b726b4417cefdca	309	208	0	0	0	0	0
118970b7892ebb18a37485449a19481f	0	0	0	0	49	0	0
11d14478195a36d51737677a396322c7	0	0	206	1073	61	0	0
128c0eac40cc2b7b8781ee0a93b3379b	99	0	0	0	0	0	0
12d83954270f2202982fac6fd2c2c3f5	0	0	0	32	0	0	0
12f2939609e4eb83e3d736a8cef6830b	0	165	0	0	0	0	0
1313946a374495ba9004a7a89f8055c3	0	0	0	0	0	54.75	0
139ac96a38ad2149d975ba23ab0ecf51	0	0	0	0	0	21	0
141458448b5097a0ac39eb07451e15b5	0	0	0	1090	0	0	0
1416e944ba17e31568cdd4c392545163	29	51	0	0	0	0	0
