,0
287,HOMOSERSYN-PWY
288,ASPARTATESYN-PWY
289,PWY-7380
290,PWY-6578
291,PWY-5481
292,PWY-5120
293,PWY-5123
294,NONMEVIPP-PWY
295,PWY-5162
296,P183-PWY
297,PWY-2503
298,TOLUENE-DEG-CATECHOL-PWY
299,PWY-7700
300,PWY-2361
301,PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY
302,TOLUENE-DEG-4-OH-PWY
303,PWY-7700
304,PWY-5303
305,PWY-5276
306,PWY-5279
307,PWY-5302
308,HOMOSER-METSYN-PWY
309,HOMOSERSYN-PWY
310,ASPARTATESYN-PWY
311,PWY-5162
312,P183-PWY
313,PWY-5419
314,PWY-5162
315,PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY
316,PWY-2361
317,CATECHOL-ORTHO-CLEAVAGE-PWY
318,GLNSYN-PWY
319,PWY-4341
320,GLUGLNSYN-PWY
321,GLUTSYN-PWY
322,GLUTSYNIII-PWY
323,GLUTAMATE-SYN2-PWY
324,PWY-5189
325,PWY-5531
326,PWY-5526
327,PWY-5654
328,PWY-5162
329,PWY-5651
330,PWY-5654
331,PWY0-1312
332,PWY-5698
333,PWY-5852
334,MENAQUINONESYN-PWY
335,PWY-5837
336,PWY-5783
337,PWY-5851
338,PWY-5805
339,PWY-5844
340,PWY-5837
341,PWY-5853
342,PWY-5837
343,HEXPPSYN-PWY
344,PWY-5851
345,PWY-5805
346,PWY-5837
347,PWY-5806
348,PWY-5890
349,PWY-5837
350,PWY-5817
351,PWY-5892
352,PWY-5837
353,HEME-BIOSYNTHESIS-II
354,PWY-5188
355,PWY0-321
356,2PHENDEG-PWY
357,PWY-7222
358,PWY-7221
359,SAM-PWY
360,PWY-6183
361,PWY-2361
362,CATECHOL-ORTHO-CLEAVAGE-PWY
363,PWY-7374
364,PWY-5783
365,MENAQUINONESYN-PWY
366,PWY-6262
367,PWY-6122
368,PWY-6121
369,PWY-5695
370,PWY-6608
371,SALVADEHYPOX-PWY
372,PWY-6387
373,PWY-6389
374,PWY-6392
375,PWY-6391
376,PWY-6390
377,PWY-6461
378,PWY-6386
379,PWY-5654
380,PWY-6504
381,TRPCAT-PWY
382,PWY-5162
383,CENTFERM-PWY
384,PWY-6543
385,PWY-6147
386,PWY-6614
387,TYRSYN
388,PWY-6891
389,PWY-6893
390,PWY-6890
391,XYLCAT-PWY
392,PWY-6583
393,PWY-6131
394,AMMOXID-PWY
395,PWY-7205
396,PWY-7176
397,PWY-7183
398,PWY-7193
399,PWY-6556
400,PWY-7199
401,PWY-7197
402,PWY-7176
403,PWY-5686
404,PWY-7184
405,PWY-7226
406,PWY-7221
407,P562-PWY
408,PWY-5738
409,GDPRHAMSYN-PWY
410,PWY-5739
411,PWY-5740
412,PWY-66
413,PWY-5659
414,PWY-5512
415,UDPNAGSYN-PWY
416,PWY-7090
417,PWY-7336
418,PWY-7335
419,PWY-7333
420,PWY-7334
421,PWY-7331
422,PWY-7330
423,PWY-7372
424,PWY-7371
425,HEXPPSYN-PWY
426,PWY-5120
427,NONMEVIPP-PWY
428,PWY-5123
429,PWY-4361
430,PWY-6756
431,BSUBPOLYAMSYN-PWY
432,SAM-PWY
433,PWY-7226
434,PWY-7221
435,PWY-7219
436,PWY-7227
437,PWY-6124
438,PWY-6121
439,PWY-5162
440,HCAMHPDEG-PWY
441,PWY-7180
442,PWY-7179
443,HEMESYN2-PWY
444,PWY-7176
445,PWY-5686
446,SAM-PWY
447,PYRIDNUCSYN-PWY
448,ASPARTATESYN-PWY
449,PWY0-1319
450,SERSYN-PWY
451,GLYSYN-PWY
452,PWY-7343
453,TCA
454,GLYOXYLATE-BYPASS
455,PWY-6892
456,PWY-6894
457,PWY-6890
458,PWY-5123
459,PWY-5755
460,PWY-5783
461,PWY-6708
462,PWY0-1303
463,BSUBPOLYAMSYN-PWY
464,PWY-46
465,PWY-40
466,CITRULLINE-DEG-PWY
467,PWY-7222
468,PWY-7221
469,PWY-6543
470,PWY-6147
471,PWY-6614
472,PWY-7247
473,PWY-7242
474,HOMOSERSYN-PWY
475,HOMOSER-METSYN-PWY
476,PWY0-1317
477,PWY0-1312
478,PWY-7176
479,PWY-5686
480,PWY-6967
481,PWY-6966
482,PWY0-1312
483,PWY-5419
484,PWY-5162
485,PWY-5162
486,TOLUENE-DEG-3-OH-PWY
487,PWY-5162
488,TOLUENE-DEG-2-OH-PWY
489,PWY-5162
490,TOLUENE-DEG-DIOL-PWY
491,PWY0-1312
492,PWY-6163
493,PWY-6164
494,NONOXIPENT-PWY
495,OXIDATIVEPENT-PWY
496,PWY-7176
497,PWY-5686
498,HOMOSER-METSYN-PWY
499,DAPLYSINESYN-PWY
500,ASPARTATESYN-PWY
501,HOMOSER-THRESYN-PWY
502,HOMOSERSYN-PWY
503,PWY0-1221
504,PWY0-823
505,PUTDEG-PWY
506,GLUTDEG-PWY
507,ASPARAGINESYN-PWY
508,ASPARTATESYN-PWY
509,VALSYN-PWY
510,ILEUSYN-PWY
511,LEUSYN-PWY
512,TRPSYN-PWY
513,PHESYN
514,TYRSYN
515,GLYCOLYSIS
516,SORBDEG-PWY
517,PWY-5481
518,PWY-5480
519,MANNIDEG-PWY
520,PWY-5484
521,PWY0-1545
522,PWY0-1319
523,PWY-5669
524,PWY-5668
525,PWY-5667
526,PWY-5344
527,HOMOSERSYN-PWY
528,ASPARTATESYN-PWY
529,PWY-2361
530,CATECHOL-ORTHO-CLEAVAGE-PWY
531,PWY-2503
532,PWY-5839
533,PWY-5807
534,PWY-5837
535,PWY-5852
536,PWY-5837
537,PWY-5783
538,PWY-5816
539,PWY-5891
540,PWY-5837
541,HEME-BIOSYNTHESIS-II
542,PWY-5189
543,PWY-7220
544,PWY-7219
545,PWY-5509
546,PWY-7972
547,KDOSYN-PWY
548,PHESYN
549,PWY-6910
550,PWY-7183
551,PWY-7176
552,PWY-7227
553,PWY-7219
554,PWY-7346
555,PWY-7344
556,PWY-7343
557,PWY-4861
558,ALANINE-SYN2-PWY
559,PWY0-1021
560,ALANINE-VALINESYN-PWY
561,PWY-7180
562,PWY-7181
563,PWY-7184
564,PWY-7187
565,PYRIDOXSYN-PWY
566,PLPSAL-PWY
567,PWY-5667
568,PWY-5340
569,PWY0-1303
570,BSUBPOLYAMSYN-PWY
571,PWY-46
572,PWY-40
573,PWY-7220
574,PWY-7219
575,PWY-6123
576,PWY-6122
577,PWY-5162
578,TOLUENE-DEG-3-OH-PWY
579,PWY-5162
580,TOLUENE-DEG-2-OH-PWY
581,NONOXIPENT-PWY
582,OXIDATIVEPENT-PWY
583,HOMOSER-METSYN-PWY
584,DAPLYSINESYN-PWY
585,ASPARTATESYN-PWY
586,HOMOSER-THRESYN-PWY
587,HOMOSERSYN-PWY
588,PWY-6537
589,PWY-6535
590,PWY-6163
591,PWY-6164
592,PWY0-1221
593,PUTDEG-PWY
594,PWY0-1312
595,PWY-5340
596,PWY-5419
