Giver,Reciver,Interaction Coefficient,Sample,N Open
Acer,Chae,-0.0006671125326435115,My_20,14
Acer,Beae,-0.74742672111702,My_20,14
Acer,Deae,-0.011890772624861101,My_20,14
Seum,Acer,0.8546392100732291,My_20,14
Seum,Seum,0.0,My_20,14
Seum,Meus,-0.9993401280908328,My_20,14
Seum,Raer,0.851107305885591,My_20,14
Seum,Boea,-0.8434308095640994,My_20,14
Seum,Hyum,0.9330772490461751,My_20,14
Seum,Meis,0.9404866018141775,My_20,14
Seum,Brla,0.6624792483857636,My_20,14
Seum,Teas,-0.909993856982902,My_20,14
Seum,Afia,0.37384201998799427,My_20,14
Seum,Chae,0.9986548575048577,My_20,14
Seum,Beae,0.9684330329486254,My_20,14
Seum,Deae,-0.7572232499976064,My_20,14
Meus,Acer,-0.10024230415073311,My_20,14
Meus,Seum,-1.7165021512967496e-05,My_20,14
Meus,Meus,0.0,My_20,14
Meus,Raer,-0.0031930602048796984,My_20,14
Meus,Boea,-0.04272860535846101,My_20,14
Meus,Hyum,0.00011487802681063506,My_20,14
Meus,Meis,8.25263263173747e-05,My_20,14
Meus,Brla,0.0001624990874184658,My_20,14
Meus,Teas,-0.006878695190892517,My_20,14
Meus,Afia,0.000537241077423557,My_20,14
Meus,Chae,-8.945130730924226e-07,My_20,14
Meus,Beae,0.0001862261726565119,My_20,14
Meus,Deae,-0.001986962419582685,My_20,14
Raer,Acer,-0.9744931137568187,My_20,14
Raer,Seum,0.020218657718930604,My_20,14
Raer,Meus,-0.982731119184032,My_20,14
Raer,Raer,0.0,My_20,14
Raer,Boea,-0.8973182968410894,My_20,14
Raer,Hyum,0.002414893795257804,My_20,14
Raer,Meis,-0.008273862580623252,My_20,14
Raer,Brla,-0.9910042323167487,My_20,14
Raer,Teas,-0.42440903794436147,My_20,14
Raer,Afia,-0.8534687272276217,My_20,14
Raer,Chae,-0.9439853288619602,My_20,14
Raer,Beae,-0.9844977530769721,My_20,14
Raer,Deae,-0.19968203974127438,My_20,14
Boea,Acer,-0.7441688006024212,My_20,14
Boea,Seum,0.0015304833543076945,My_20,14
Boea,Meus,-0.9002356355389334,My_20,14
Boea,Raer,-0.053729080284709664,My_20,14
Boea,Boea,0.0,My_20,14
Boea,Hyum,0.00015603472042643787,My_20,14
Boea,Meis,0.00017427991471635345,My_20,14
Boea,Brla,-0.7560375063957807,My_20,14
Boea,Teas,-0.08048994727835145,My_20,14
Boea,Afia,-0.10209898834880995,My_20,14
Boea,Chae,-0.5248307904235714,My_20,14
Boea,Beae,-0.02472163366291103,My_20,14
Boea,Deae,-0.029055696594216703,My_20,14
Hyum,Acer,-0.985925886751116,My_20,14
Hyum,Seum,0.23714908219808267,My_20,14
Hyum,Meus,-0.997120303096851,My_20,14
Hyum,Raer,-0.004463118943434536,My_20,14
Hyum,Boea,0.09630620905016735,My_20,14
Hyum,Hyum,0.0,My_20,14
Hyum,Meis,-0.11148106416527877,My_20,14
