,0
281,PWY-5162
282,P183-PWY
283,PWY-5419
284,PWY-5162
285,PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY
286,PWY-2361
287,CATECHOL-ORTHO-CLEAVAGE-PWY
288,GLNSYN-PWY
289,PWY-4341
290,GLUGLNSYN-PWY
291,GLUTSYN-PWY
292,GLUTSYNIII-PWY
293,GLUTAMATE-SYN2-PWY
294,PWY-5654
295,PWY-5162
296,PWY-5651
297,PWY-5654
298,PWY0-1312
299,PWY-5698
300,PWY-5852
301,MENAQUINONESYN-PWY
302,PWY-5837
303,PWY-5783
304,PWY-5851
305,PWY-5805
306,PWY-5844
307,PWY-5837
308,PWY-5853
309,PWY-5837
310,HEXPPSYN-PWY
311,PWY-5851
312,PWY-5805
313,PWY-5837
314,PWY-5806
315,PWY-5890
316,PWY-5837
317,PWY-5817
318,PWY-5892
319,PWY-5837
320,HEME-BIOSYNTHESIS-II
321,PWY-5188
322,PWY0-321
323,2PHENDEG-PWY
324,PWY-7222
325,PWY-7221
326,SAM-PWY
327,PWY-6183
328,PWY-2361
329,CATECHOL-ORTHO-CLEAVAGE-PWY
330,PWY-7374
331,PWY-5783
332,MENAQUINONESYN-PWY
333,PWY-6262
334,PWY-6122
335,PWY-6121
336,PWY-5695
337,PWY-6608
338,SALVADEHYPOX-PWY
339,PWY-6387
340,PWY-6389
341,PWY-6392
342,PWY-6391
343,PWY-6390
344,PWY-5654
345,PWY-6504
346,TRPCAT-PWY
347,PWY-5162
348,CENTFERM-PWY
349,PWY-6543
350,PWY-6147
351,PWY-6614
352,TYRSYN
353,PWY-6891
354,PWY-6893
355,PWY-6890
356,XYLCAT-PWY
357,PWY-6583
358,PWY-6131
359,AMMOXID-PWY
360,PWY-7205
361,PWY-7176
362,PWY-7183
363,PWY-7193
364,PWY-6556
365,PWY-7199
366,PWY-7197
367,PWY-7176
368,PWY-5686
369,PWY-7184
370,PWY-7226
371,PWY-7221
372,P562-PWY
373,PWY-5738
374,GDPRHAMSYN-PWY
375,PWY-5739
376,PWY-5740
377,PWY-66
378,PWY-5659
379,PWY-5512
380,UDPNAGSYN-PWY
381,PWY-7090
382,PWY-7336
383,PWY-7335
384,PWY-7333
385,PWY-7334
386,PWY-7331
387,PWY-7330
388,PWY-5120
389,NONMEVIPP-PWY
390,PWY-5123
391,PWY-4361
392,PWY-6756
393,BSUBPOLYAMSYN-PWY
394,SAM-PWY
395,PWY-7226
396,PWY-7221
397,PWY-7219
398,PWY-7227
399,PWY-6124
400,PWY-6121
401,PWY-5162
402,HCAMHPDEG-PWY
403,PWY-7180
404,PWY-7179
405,HEMESYN2-PWY
406,PWY-7176
407,PWY-5686
408,SAM-PWY
409,PYRIDNUCSYN-PWY
410,ASPARTATESYN-PWY
411,PWY0-1319
412,SERSYN-PWY
413,GLYSYN-PWY
414,PWY-7343
415,TCA
416,GLYOXYLATE-BYPASS
417,PWY-6892
418,PWY-6894
419,PWY-6890
420,PWY-5123
421,PWY-5755
422,PWY-5783
423,PWY-6708
424,PWY0-1303
425,BSUBPOLYAMSYN-PWY
426,PWY-46
427,PWY-40
428,CITRULLINE-DEG-PWY
429,PWY-6163
430,PWY-6164
431,PWY-7220
432,PWY-7219
433,PWY-6543
434,PWY-6147
435,PWY-6614
436,PWY-7247
437,PWY-7242
438,HOMOSERSYN-PWY
439,HOMOSER-METSYN-PWY
440,PWY-7176
441,PWY-5686
442,PWY-6967
443,PWY-6966
444,PWY0-1312
445,PWY-5419
446,PWY-5162
447,PWY-5162
448,TOLUENE-DEG-3-OH-PWY
449,PWY-5162
450,TOLUENE-DEG-2-OH-PWY
451,PWY-5162
452,TOLUENE-DEG-DIOL-PWY
453,PWY0-1312
454,PWY-6163
455,PWY-6164
456,NONOXIPENT-PWY
457,OXIDATIVEPENT-PWY
458,PWY-7176
459,PWY-5686
460,HOMOSER-METSYN-PWY
461,DAPLYSINESYN-PWY
462,ASPARTATESYN-PWY
463,HOMOSER-THRESYN-PWY
464,HOMOSERSYN-PWY
465,PWY0-1221
466,PWY0-823
467,PUTDEG-PWY
468,GLUTDEG-PWY
469,ASPARAGINESYN-PWY
470,ASPARTATESYN-PWY
471,VALSYN-PWY
472,ILEUSYN-PWY
473,LEUSYN-PWY
474,PWY-7346
475,PWY-7344
476,PWY-7343
477,PWY-5659
478,PWY-66
479,GLYCOLYSIS
480,PWY-5453
481,PWY-5386
482,PWY0-1545
483,PWY0-1319
484,PWY-5669
485,PWY-5668
486,PWY-5667
487,PWY-5344
488,HOMOSERSYN-PWY
489,ASPARTATESYN-PWY
490,PWY-2361
491,CATECHOL-ORTHO-CLEAVAGE-PWY
492,PWY-2503
493,PWY-5839
494,PWY-5807
495,PWY-5837
496,PWY-5852
497,PWY-5837
498,PWY-5783
499,PWY-5816
500,PWY-5891
501,PWY-5837
502,HEME-BIOSYNTHESIS-II
503,PWY-5189
504,PWY-5509
505,PWY-7972
506,KDOSYN-PWY
507,PHESYN
508,PWY-6910
509,PWY-7183
510,PWY-7176
511,PWY-7227
512,PWY-7219
513,PWY-7346
514,PWY-7344
515,PWY-7343
516,PWY-4861
517,ALANINE-SYN2-PWY
518,PWY0-1021
519,ALANINE-VALINESYN-PWY
520,PWY-7180
521,PWY-7181
522,PWY-7184
523,PWY-7187
524,PYRIDOXSYN-PWY
525,PLPSAL-PWY
526,PWY-5667
527,PWY-5340
528,PWY0-1303
529,BSUBPOLYAMSYN-PWY
530,PWY-46
531,PWY-40
532,PWY-7222
533,PWY-7221
534,PWY-6123
535,PWY-6122
536,PWY-5162
537,TOLUENE-DEG-3-OH-PWY
538,PWY-5162
539,TOLUENE-DEG-2-OH-PWY
540,NONOXIPENT-PWY
541,OXIDATIVEPENT-PWY
