id,Acer,Seum,Meus,Raer,Boea,Hyum,Meis,Brla,Teas,Afia,Chae,Beae,Deae
Acer,-0.000563041174146945,-0.3356705725384892,-0.047713852140484944,-0.6931902131960969,-0.3933730501797724,-0.6977176498608039,-0.30182693004326266,-0.14541423692492658,-0.6452392120996112,-0.26752972935599983,-0.29307413129629567,-0.1527765999683156,-0.5365887867204562
Seum,0.0001415293057761406,-0.000563041174146945,8.693045388733556e-06,-0.007481788868592001,0.00012386425584856174,0.07304473453303546,0.5032600246909411,2.9613433950688245e-05,0.0006963435694541817,0.00022048789376033444,0.00030625079645714816,-7.4867891254113695e-06,0.0008373600518778272
Meus,-0.5770673541371241,-0.3475019402007889,-0.000563041174146945,-0.7981417587138165,-0.8786820057529847,-0.6508950088169152,-0.3542954516142988,-0.4675141416315059,-0.9826003167054421,-0.5377403309019015,-0.5538205295102088,-0.43353114728522824,-0.6820231023474503
Raer,0.0009884103924030613,-0.07651202669217746,7.383768240071831e-05,-0.000563041174146945,-0.0007383552308016345,-0.03303781644880149,0.117497302589405,0.0002551412157735029,-0.00025745125870020493,0.000760533319200614,0.0008056341218135769,5.750049531325588e-05,0.003307880835467353
Boea,-0.1270885821735072,-0.33644947078992865,-0.011761483989510458,-0.6587445100859937,-0.000563041174146945,-0.6672848900651124,-0.3061608894800106,-0.045770882643750115,-0.4419026273017219,-0.11676079791957623,-0.11711178654612842,-0.05955929651051646,-0.31552215383133525
Hyum,0.00017520219276725963,0.19533761685088066,1.3043009488257262e-05,7.951254522136497e-05,-3.407225983993473e-05,-0.000563041174146945,0.3681142325066221,6.450959825726746e-05,-0.0007188416985753854,0.000375883084183711,0.00032202567522695614,-5.4324641704368046e-05,0.0009837018658696366
Meis,0.0005136561069524515,0.5348195473864278,3.9217891127852845e-05,0.07185166471922491,0.001168000388525697,0.1692155003328345,-0.000563041174146945,0.0001709250088862581,0.00388267711498537,0.00046045832712918465,0.0004869798719666649,0.00020820772603652763,0.0020702558449314816
Brla,-0.46236188346797713,-0.33863318370576917,-0.11524169660119278,-0.7967092394303591,-0.5672981118469292,-0.6959707652456282,-0.3006926548425647,-0.000563041174146945,-0.9368623597035309,-0.4006018933579884,-0.44711480632463085,-0.3041638118727782,-0.702327059877273
Teas,-0.04145497011159422,-0.3330749630393649,-0.0036738997091083202,-0.4215150244727434,-0.07443619964733753,-0.5223377012411347,-0.28933553502185044,-0.013500056056324582,-0.000563041174146945,-0.03535952003970672,-0.037972287857382284,-0.01723210934326627,-0.14682189413868493
Afia,-0.2893834108817441,-0.3353426544786564,-0.03670585677470325,-0.807905786320058,-0.4349346879637521,-0.665438394806458,-0.30889141529050096,-0.135131978370083,-0.6407479996638964,-0.000563041174146945,-0.28327500125284677,-0.1604218095723822,-0.5076887661684663
Chae,-0.2587811756835832,-0.3518871536822205,-0.03326711146929671,-0.8402042601359644,-0.38355447555521116,-0.6671340933008355,-0.29493086386057915,-0.1115625536954812,-0.6152962702569053,-0.23626797049413303,-0.000563041174146945,-0.13390372660101854,-0.477469724693332
Beae,-0.3661824242013863,-0.3435963616405568,-0.07286443873710924,-0.8413625028435839,-0.5227235490813037,-0.6800334938846231,-0.30238252403874516,-0.20718455918029557,-0.7897454136015861,-0.36367838007937753,-0.36179031614111073,-0.000563041174146945,-0.5335269370742854
Deae,-0.10207978575399383,-0.3378791290678106,-0.010027937036821043,-0.6147758075403549,-0.181244915793674,-0.5991964645058168,-0.2861413097542406,-0.03825941491283005,-0.4242059915904169,-0.08724239081118274,-0.10140394287675256,-0.03969718021183272,-0.000563041174146945
